aviris_wl,ch4_Kcoef_interp1d
1774.28,1.0682015617318937e-22
1779.29,3.57604066602754e-23
1784.3,9.759565325337353e-23
1789.3,3.1932020509738907e-22
1794.31,3.9942397221881095e-23
1799.32,4.882698296158478e-23
1804.33,2.0692484341695906e-23
1809.34,1.3400214912149655e-23
1814.35,1.754166732166376e-22
1819.36,1.5196061979762886e-23
1824.37,3.0695199301600725e-23
1829.37,8.520326665421147e-24
1834.38,3.2872792279482573e-23
1839.39,2.2380568861135847e-23
1844.4,2.567936790876627e-23
1849.41,1.1892221982976339e-23
1854.42,2.7969014596735573e-23
1859.43,4.432045683911394e-24
1864.44,8.304259541071376e-24
1869.44,4.7888610274966605e-24
1874.45,4.9186155610863545e-24
1879.46,6.58919767583467e-24
1884.47,2.13491721098752e-24
1889.48,1.6665947062376223e-24
1894.49,2.0786957300920852e-24
1899.5,1.0975823005615395e-24
1904.5,2.7685864201075854e-24
1909.51,4.672764905254238e-24
1914.52,7.955984365401863e-24
1919.53,7.786043110117869e-25
1924.54,2.3804240357688134e-24
1929.55,6.703211806129501e-25
1934.56,4.887211646694575e-25
1939.57,2.4959484440420366e-24
1944.57,1.1374613503490353e-24
1949.58,4.5546943475114276e-24
1954.59,2.0687043194191496e-25
1959.6,1.577647936896336e-24
1964.61,4.264862078462547e-24
1969.62,1.2283665220849188e-23
1974.63,1.7390664395701659e-25
1979.63,5.723276473367916e-26
1984.64,1.6644998647710262e-25
1989.65,3.21318985022594e-24
1994.66,1.8269359275961521e-25
1999.67,1.0000455731104428e-25
2004.68,1.1759617987151262e-25
2009.69,5.199713157735196e-26
2014.7,3.393717378045929e-27
2019.7,1.0989872284938004e-26
2024.71,2.7000927049717523e-26
2029.72,2.0833511322444597e-26
2034.73,2.1769210092821125e-24
2039.74,3.807543111608808e-27
2044.75,8.288439512033589e-26
2049.76,3.9380541410628774e-27
2054.76,1.7161199963220174e-26
2059.77,1.2548595257635993e-26
2064.78,1.2483795504804215e-26
2069.79,1.0509815459897579e-25
2074.8,9.367016266832568e-28
2079.81,1.957857582958218e-27
2084.82,8.535640630672217e-26
2089.83,2.910633103334038e-25
2094.83,3.1885540871513093e-25
2099.84,3.096523127375669e-25
2104.85,2.8737029131679967e-25
2109.86,7.682739795003613e-25
2114.87,9.874290867150976e-25
2119.88,1.7210934165856573e-24
2124.89,1.3365863126773403e-23
2129.89,2.264412115905379e-24
2134.9,5.5895441746792024e-24
2139.91,0.0
2144.92,1.3923104114266594e-24
2149.93,8.533970644132331e-24
2154.94,9.782479406540015e-22
2159.95,9.0808285750985e-23
2164.96,4.864312095534292e-22
2169.96,3.937377876104417e-23
2174.97,3.367055892542634e-22
2179.98,4.15972370185137e-23
2184.99,1.9661718065020177e-23
2190.0,5.224063591268351e-23
2195.01,1.945528700207044e-22
2200.02,2.805151584300325e-21
2205.02,1.282857057112016e-21
2210.03,5.376836145750198e-23
2215.04,5.741432476531277e-23
2220.05,1.557349999123975e-22
2225.06,1.4547096844363784e-22
2230.07,2.339089298553792e-22
2235.08,3.756169314224035e-22
2240.09,2.7391598414883765e-22
2245.09,2.9830490092168058e-22
2250.1,4.919466165609306e-22
2255.11,7.847607081987319e-22
2260.12,1.847662694082353e-21
2265.13,2.625546262801366e-21
2270.14,9.372053821129951e-22
2275.15,1.1242510217662509e-21
2280.15,3.0301246769632715e-22
2285.16,1.0599371606776044e-21
2290.17,3.0279495913282456e-21
2295.18,3.965237487282691e-21
2300.19,8.117506111644187e-21
2305.2,4.0819720471367196e-22
2310.21,1.574419705453088e-22
2315.22,1.4045816456936189e-22
2320.22,3.1850730613413195e-21
